Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea
KNN multi scale sliding 2K=10,1.0413749,0.993686869,10,0,777,5,0.666666667,1,1,0.8,0,
 ,,,,,,,,,,,,
KNN multi scale sliding 3K=10,2.0945938,0.993684211,6,7,1410,2,0.75,0.461538462,0.995059986,0.571428571,0.004940014,
 ,,,,,,,,,,,,
KNN multi scale sliding 4K=10,13.7796811,0.994479167,39,36,9508,15,0.722222222,0.52,0.996227997,0.604651163,0.003772003,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.2058833,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset K=3,0.2875652,0.608333333,114,8,32,86,0.57,0.93442623,0.8,0.708074534,0.2,
 ,,,,,,,,,,,,
KNN supplied images K=3,5.1161853,0.571428571,4,0,0,3,0.571428571,1,NaN,0.727272727,NaN,
 ,,,,,,,,,,,,
KNN single scale sliding 1K=3,0.3086168,0.995555556,6,0,218,1,0.857142857,1,1,0.923076923,0,
 ,,,,,,,,,,,,
KNN single scale sliding 2K=3,0.3749621,0.992424242,14,1,248,1,0.933333333,0.933333333,0.995983936,0.933333333,0.004016064,
 ,,,,,,,,,,,,
KNN single scale sliding 3K=3,0.5998454,0.974736842,8,12,455,0,1,0.4,0.974304069,0.571428571,0.025695931,
 ,,,,,,,,,,,,
KNN single scale sliding 4K=3,3.5104039,0.9840625,44,39,3105,11,0.8,0.530120482,0.98759542,0.637681159,0.01240458,
 ,,,,,,,,,,,,
KNN multi scale sliding 1K=3,0.7108749,0.995555556,5,1,667,0,1,0.833333333,0.998502994,0.909090909,0.001497006,
 ,,,,,,,,,,,,
KNN multi scale sliding 2K=3,0.9801813,0.992424242,9,0,777,6,0.6,1,1,0.75,0,
 ,,,,,,,,,,,,
KNN multi scale sliding 3K=3,2.0394489,0.992982456,6,8,1409,2,0.75,0.428571429,0.99435427,0.545454545,0.00564573,
 ,,,,,,,,,,,,
KNN multi scale sliding 4K=3,13.4966676,0.9946875,40,35,9509,12,0.769230769,0.533333333,0.996332775,0.62992126,0.003667225,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.2595441,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.290871,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,4.8441714,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
KNN single scale sliding 1,0.3433656,0.991111111,6,1,217,1,0.857142857,0.857142857,0.995412844,0.857142857,0.004587156,
 ,,,,,,,,,,,,
KNN single scale sliding 2,0.3811849,0.992424242,14,1,248,1,0.933333333,0.933333333,0.995983936,0.933333333,0.004016064,
 ,,,,,,,,,,,,
KNN single scale sliding 3,0.6234244,0.976842105,8,11,456,0,1,0.421052632,0.976445396,0.592592593,0.023554604,
 ,,,,,,,,,,,,
KNN single scale sliding 4,3.5441649,0.9840625,42,37,3107,13,0.763636364,0.53164557,0.988231552,0.626865672,0.011768448,
 ,,,,,,,,,,,,
KNN multi scale sliding 1,0.7253945,0.994074074,5,2,666,0,1,0.714285714,0.997005988,0.833333333,0.002994012,
 ,,,,,,,,,,,,
KNN multi scale sliding 2,1.0477598,0.993686869,10,0,777,5,0.666666667,1,1,0.8,0,
 ,,,,,,,,,,,,
KNN multi scale sliding 3,2.1056191,0.994385965,7,7,1410,1,0.875,0.5,0.995059986,0.636363636,0.004940014,
 ,,,,,,,,,,,,
KNN multi scale sliding 4,14.0397611,0.995208333,44,34,9510,7,0.862745098,0.564102564,0.996437552,0.682170543,0.003562448,
 ,,,,,,,,,,,,
